metin,turu,kategori
yağmur yağsın da varsın kerpiççi ağlasın,Atasözü,öğüt
yağmurdan kaçarken doluya tutulmak,Deyim,diğer
"yaka bir tarafta, paça bir tarafta",Deyim,diğer
yaka ısırmak,Deyim,diğer
yaka paça etmek götürmek,Deyim,diğer
yakadan atmak,Deyim,öğüt
yakadan geçirmek,Deyim,öğüt
yakası açılmadık,Deyim,diğer
yakasına çökmek,Deyim,diğer
yakayı ele vermek,Deyim,diğer
yakayı yakasını kurtarmak sıyırmak,Deyim,diğer
yakı yakmak vurmak,Deyim,diğer
yakın takibe almak,Deyim,diğer
yakından bilmek tanımak,Deyim,diğer
yakınlık duymak,Deyim,diğer
yakınlık görmek,Deyim,diğer
yakınlık göstermek,Deyim,diğer
yakınlık kurmak,Deyim,diğer
yakıp yıkmak,Deyim,diğer
yakışık almamak,Deyim,diğer
yakışıksız kaçmak,Deyim,diğer
yalan atmak kıvırmak,Deyim,eleştiri
yalan çıkmak,Deyim,eleştiri
yalan yere,Deyim,eleştiri
yalan yere yemin etmek,Deyim,eleştiri
yalana şerbetli olmak,Deyim,eleştiri
yalancı çıkmak,Deyim,eleştiri
"yalancının evi yanmış, kimse inanmamış",Atasözü,eleştiri
yalancının mumu yatsıya kadar yanar,Atasözü,eleştiri
yalanı çıkmak,Deyim,eleştiri
yalanını yakalamak tutmak,Deyim,eleştiri
yalayıp yutmak,Deyim,eleştiri
yalaz yalaz yanmak,Deyim,diğer
yalelli gibi,Deyim,diğer
yalı kazığı gibi,Deyim,öğüt
"yalın ayak, başı kabak",Deyim,eleştiri
yallah çekmek,Deyim,diğer
yallah etmek,Deyim,diğer
yalnız kalanı kurt yer,Atasözü,öğüt
"yalnız taş, duvar olmaz",Atasözü,öğüt
"yalnızlık, allah'a mahsustur yaraşır",Atasözü,öğüt
yalpa vurmak,Deyim,diğer
yalvar yakar olmak,Deyim,diğer
yama gibi durmak,Deyim,diğer
yama vurmak,Deyim,diğer
"yaman komşu, yaman avrat, yaman at; birinden göç, birin boşa, birin sat",Atasözü,eleştiri
yan bakmak,Deyim,diğer
yan basmak,Deyim,diğer
yan çizmek,Deyim,eleştiri
yan gelip oturmak yatmak,Deyim,diğer
yan gelmek,Deyim,diğer
yan gözle bakmak,Deyim,diğer
yan pala zeydün,Deyim,diğer
yan tutmak,Deyim,diğer
yan yan bakmak,Deyim,diğer
yan yatmak,Deyim,diğer
yana yana istemek,Deyim,diğer
yanağından kan damlamak,Deyim,diğer
yandı gülüm keten helva,Deyim,diğer
yangın bacayı sarmak,Deyim,diğer
yangın yerine dönmek,Deyim,diğer
yangına körükle gitmek,Deyim,eleştiri
yangına vermek,Deyim,diğer
yangından mal kaçırır gibi,Deyim,diğer
yangını körüklemek,Deyim,eleştiri
yanık kokmak,Deyim,diğer
yanık yerin otu tez biter,Atasözü,sabır
yanına almak,Deyim,diğer
yanına bırakmamak koymamak,Deyim,diğer
yanına kâr kalmak,Deyim,diğer
yanına salavatla varılmaz,Deyim,diğer
yanına salavatla yaklaşılmak,Deyim,diğer
yanında olmak,Deyim,diğer
yanıp durmak,Deyim,diğer
yanıp tutuşmak,Deyim,diğer
yanıp yakılmak,Deyim,diğer
yanıt hakkı doğmak,Deyim,diğer
yanıt vermek,Deyim,diğer
yankı uyandırmak,Deyim,diğer
yanlış kapı çalmak,Deyim,eleştiri
yanmış harmanın öşrü alınmaz,Atasözü,öğüt
yapıp etmek,Deyim,diğer
yapma yapma yahu,Deyim,diğer
yapmadığı kalmamak,Deyim,diğer
yapmadığını bırakmamak,Deyim,diğer
yaprak gibi titremek,Deyim,diğer
yaprak oynamamak kıpırdamamak,Deyim,diğer
yaptığı yanına kâr kalmamak,Deyim,diğer
yâr olmak,Deyim,diğer
"yar, yakıldığı gün tozar",Atasözü,öğüt
yara açmak,Deyim,diğer
yara almak,Deyim,diğer
yara bere içinde olmak,Deyim,diğer
yara sıcakken sarılır,Atasözü,öğüt
yaradan'a sığınıp,Deyim,öğüt
yaralı kuşa kurşun sıkılmaz,Atasözü,öğüt
yaralı parmağa işememek,Deyim,diğer
yararı dokunmak,Deyim,diğer
yararlı kılmak,Deyim,diğer
yarasını deşmek,Deyim,diğer
yaraşık almak,Deyim,diğer
yaraya merhem olmak,Deyim,diğer
yaraya tuz biber ekmek,Deyim,diğer
yarayı tazelemek,Deyim,diğer
yardan atmak,Deyim,diğer
"yârden mi geçersin, serden mi?",Atasözü,öğüt
yardım görmek,Deyim,diğer
yardımda bulunmak,Deyim,diğer
yardımına koşmak,Deyim,diğer
yargıya başvurmak,Deyim,diğer
yargıya gitmek,Deyim,diğer
yarıda kalmak,Deyim,diğer
"yarım elma, gönül hatır alma",Atasözü,öğüt
"yarım elmanın yarısı o, yarısı bu",Deyim,diğer
"yarım hekim candan eder, yarım hoca dinden eder",Atasözü,öğüt
yarım kalmak,Deyim,diğer
yarım kulak dinlemek,Deyim,diğer
yarım sağ etmek,Deyim,diğer
yarım sol etmek,Deyim,diğer
yarından tezi yok,Deyim,sabır
yarınki kazdan bugünkü tavuk yumurta yeğdir,Atasözü,öğüt
yarışa girmek,Deyim,diğer
yarışa kalkmak,Deyim,diğer
yarma gibi,Deyim,öğüt
yas bağlamak,Deyim,diğer
yas çekmek,Deyim,diğer
yas tutmak,Deyim,diğer
"yasa bürünmek boğulmak, gömülmek",Deyim,diğer
"yasa çıkarmak yapmak, koymak",Deyim,diğer
yasağı yasakları çiğnemek,Deyim,diğer
yasak savmak,Deyim,diğer
yaş akıtmak dökmek,Deyim,diğer
yaş ilerlemek,Deyim,diğer
yaş kesen baş keser,Atasözü,öğüt
yaş tahtaya yere basmamak,Deyim,diğer
yaş yetmiş iş bitmiş,Atasözü,öğüt
yaşı at pazarında sorarlar,Atasözü,öğüt
yaşı benzemesin,Deyim,diğer
"yaşı ne, başı ne?",Deyim,diğer
yaşı yerde toprakta sayılası,Deyim,diğer
yaşın arasında yanında kuru da yanar,Atasözü,eleştiri
yaşını başını almak,Deyim,diğer
yaşını bitirmek doldurmak,Deyim,diğer
yaşını içine akıtmak,Deyim,diğer
... yaşını sürmek,Deyim,diğer
yaşlara boğulmak,Deyim,diğer
yatağa bağlamak,Deyim,diğer
yatağa bağlanmak,Deyim,diğer
yatağa serilmek,Deyim,diğer
yatağa yataklara düşmek,Deyim,diğer
yatağını ayırmak,Deyim,diğer
yatak yorgan yatmak,Deyim,diğer
yataklık yapmak etmek,Deyim,diğer
"yatan hasta yatan ölmez, eceli yeten ölür",Atasözü,öğüt
"yatan ölmez, yeten ölür",Atasözü,öğüt
"yatan yatar aslandan kurttan, gezen yeler tilki yeğdir iyidir",Atasözü,öğüt
yatanın yürüyene borcu var,Atasözü,öğüt
yatıp kalkıp,Deyim,diğer
yatıp kalkmak,Deyim,diğer
yatırım yapmak,Deyim,diğer
yatıya kalmak,Deyim,diğer
yatsının faziletini güveyden sormalı,Atasözü,öğüt
yavaş atın tekmesi yavuz olur,Atasözü,öğüt
yavaş gel! ol!,Deyim,diğer
yavaş tükürüğün sakala zararı var,Atasözü,diğer
yavaştan almak,Deyim,diğer
yave okumak,Deyim,diğer
yavru atmak,Deyim,diğer
"yavru kuş, yuvada gördüğünü yapar",Atasözü,öğüt
yavuz hırsız ev sahibini bastırır,Atasözü,öğüt
yay gibi,Deyim,öğüt
yaya bırakmak,Deyim,diğer
yaya kaldın tatar ağası,Deyim,diğer
yaya kalmak,Deyim,diğer
yaygara koparmak,Deyim,diğer
yaygarayı basmak,Deyim,diğer
"yayı, atıcısına vermeli",Atasözü,öğüt
yayık dövmek,Deyim,diğer
yayık yaymak,Deyim,diğer
"yaz yalan, kış gerçek",Atasözü,eleştiri
"yaza çıkardık danayı, beğenmez oldu anayı",Atasözü,öğüt
yaza çıkmak,Deyim,diğer
yazboz tahtasına çevrilmek döndürmek,Deyim,diğer
yazı getirmek,Deyim,diğer
yazı tura atmak,Deyim,diğer
yazıklar olsun,Deyim,eleştiri
"yazın başı pişenin, kışın aşı pişer",Atasözü,öğüt
"yazın çalışan, kışın gülüşür",Atasözü,öğüt
"yazın sıcakta terleyen, kışın soğukta üşümez",Atasözü,öğüt
"yazın yorulmayan, kışın kurulmaz",Atasözü,eleştiri
yazının cahili olmak,Deyim,eleştiri
yazıp çizmek,Deyim,diğer
yazıya dökmek,Deyim,diğer
yazıya gelmemek,Deyim,diğer
yazıyı çıkarmak sökmek,Deyim,diğer
yazlığa çıkmak,Deyim,diğer
yedeğe almak takmak,Deyim,diğer
yedek yedekte çekmek,Deyim,diğer
"yedi adım yolun, bir yudum suyun hakkı vardır",Atasözü,öğüt
yedi iklim dört bucak,Deyim,diğer
yedi kat yerin dibine geçmek,Deyim,diğer
yedi kubbeli hamam kurmak,Deyim,eleştiri
yediği naneye bak!,Deyim,diğer
"yediği önünde, yemediği ardında",Deyim,diğer
yedikleri içtikleri ayrı gitmemek,Deyim,diğer
yedirip içirmek,Deyim,diğer
yeğ tutmak,Deyim,diğer
"yeğniyi yel alır, ağır yerinde kalır",Atasözü,öğüt
yeis duymak,Deyim,diğer
yeise bürünmek,Deyim,diğer
yeise kapılmak,Deyim,diğer
yekûn çekmek,Deyim,diğer
yekvücut olmak,Deyim,diğer
yel gibi,Deyim,diğer
yel gibi gelen sel gibi gider,Atasözü,öğüt
"yel kayadan ne koparır alır, anlar, aparır",Atasözü,öğüt
"yel üfürdü, sel su götürdü",Atasözü,öğüt
yel vermek,Deyim,diğer
yel yeperek yelken kürek,Deyim,diğer
yele vermek,Deyim,diğer
yelken açmak,Deyim,diğer
yelken basmak,Deyim,diğer
yelken dikmek,Deyim,diğer
yelkenleri suya indirmek,Deyim,diğer
yem dökmek koymak,Deyim,diğer
"yem istemez, su istemez",Atasözü,öğüt
yem kestirmek,Deyim,diğer
yem olmak,Deyim,diğer
yeme de yanında yat,Deyim,diğer
yemeden içmeden,Deyim,diğer
yemeden içmeden kesilmek,Deyim,diğer
yemek çıkarmak,Deyim,diğer
yemek seçmek,Deyim,diğer
yemek vermek,Deyim,diğer
yemeyenin malını yerler demine hu çekerler üstüne bir bardak su içerler,Atasözü,öğüt
yemin billah etmek,Deyim,diğer
yemin billah vermek,Deyim,diğer
yemin etsem başım ağrımaz,Atasözü,öğüt
yemin içmek,Deyim,diğer
yemin verdirmek ettirmek,Deyim,diğer
yemin vermek,Deyim,diğer
yemini basmak,Deyim,diğer
yemişsiz ağaca taş atmazlar,Atasözü,öğüt
yenene içilene bakılmamak,Deyim,diğer
yengeç gibi,Deyim,diğer
yeni dosttan vefa gelmez,Atasözü,öğüt
yenik düşmek,Deyim,diğer
yenik saymak,Deyim,diğer
yenilgiye uğramak,Deyim,diğer
yenilik yapmak,Deyim,diğer
yenilir yutulur değil olmamak,Deyim,diğer
yer açmak,Deyim,diğer
yer bakır gök demir kesilmek,Deyim,diğer
yer bulmak,Deyim,diğer
yer değiştirmek,Deyim,diğer
yer demir gök bakır,Deyim,diğer
yer kaplamak,Deyim,diğer
yer kapmak,Deyim,diğer
yer öpmek,Deyim,diğer
yer tutmak,Deyim,diğer
yer vermek,Deyim,diğer
yer yarılıp içine girmek geçmek,Deyim,diğer
yer yerinden oynamak,Deyim,diğer
yerde kalmak,Deyim,diğer
yerden göğe kadar,Deyim,öğüt
yerden yere çalmak,Deyim,diğer
yerden yere vurmak,Deyim,diğer
yere bakan yürek yakan,Deyim,diğer
yere bakmak,Deyim,diğer
yere baktırmak,Deyim,diğer
yere batasıca batsın,Deyim,diğer
yere batmak,Deyim,diğer
yere çalmak,Deyim,diğer
yere göğe koymamak,Deyim,öğüt
yere sağlam basmak,Deyim,diğer
yere sermek,Deyim,diğer
yere vurmak,Deyim,diğer
yere yığılmak,Deyim,diğer
yere yıkılmak,Deyim,diğer
yeri gelmek,Deyim,diğer
yeri göğü ben yarattım demek,Deyim,diğer
yeri göğü birbirine katmak,Deyim,diğer
yeri göğü inletmek,Deyim,diğer
yeri göğü tırmalamak,Deyim,diğer
yeri göğü tutmak,Deyim,diğer
yeri olmak,Deyim,diğer
yeri öpmek,Deyim,diğer
yeri soğumadan,Deyim,öğüt
yeri yurdu belirsiz olmak,Deyim,diğer
yeridir,Deyim,diğer
yerin dibine batırıp çıkarmak,Deyim,eleştiri
yerin dibine geçmek batmak veya girmek,Deyim,diğer
yerinde bulmak,Deyim,diğer
yerinde duramamak,Deyim,diğer
yerinde kalmak,Deyim,diğer
yerinde saymak,Deyim,eleştiri
yerinde su çıkmak,Deyim,diğer
yerinde yeller esmek,Deyim,diğer
yerinden fırlamak,Deyim,diğer
yerinden oynamak,Deyim,diğer
yerinden oynatmak,Deyim,diğer
yerine geçmek,Deyim,diğer
yerine gelmek,Deyim,diğer
yerine getirmek,Deyim,diğer
yerine koymak,Deyim,diğer
yerini almak,Deyim,diğer
yerini beğenmek,Deyim,diğer
yerini bulmak,Deyim,diğer
yerini doldurmak,Deyim,diğer
yerini ısıtmak,Deyim,diğer
yerini sevmek,Deyim,diğer
yerini yapmak,Deyim,diğer
yerle beraber,Deyim,diğer
yerle bir etmek,Deyim,diğer
yerle gök bir olsa,Deyim,diğer
yerle yeksan etmek,Deyim,diğer
yerlerde sürünmek,Deyim,diğer
yerlere geçmek,Deyim,diğer
yerlere kadar eğilmek,Deyim,öğüt
yerleri süpürmek,Deyim,diğer
yerli yerinde olmak,Deyim,diğer
yerli yerine oturmak,Deyim,diğer
yersiz yurtsuz kalmak,Deyim,diğer
yeşil ışık yakmak,Deyim,diğer
yeter de artar,Deyim,diğer
yeteri kadar,Deyim,öğüt
yetkili kılmak,Deyim,diğer
yetmişine merdiven dayamak,Deyim,diğer
yetti artık gayrı,Deyim,diğer
yığılıp kalmak,Deyim,diğer
yıkım olmak,Deyim,diğer
yıkkınlık göstermek,Deyim,diğer
yıl on iki ay,Deyim,diğer
yılan gibi sokmak,Deyim,eleştiri
yılanın kuyruğuna basmak,Deyim,diğer
yıldırım çarpmışa dönmek,Deyim,diğer
yıldırım gibi,Deyim,diğer
yıldırımla vurulmuşa dönmek,Deyim,diğer
"yıldız akmak kaymak, uçmak",Deyim,diğer
yıldızı parlamak,Deyim,öğüt
yıldızı sönmek,Deyim,diğer
yıldızı yıldızları barışmamak,Deyim,diğer
yıldızları saymak,Deyim,diğer
yısa beraber!,Deyim,diğer
yiğitliğe leke bok sürmemek,Deyim,diğer
yiğitlik sende kalsın,Deyim,diğer
yiğitlik taslamak,Deyim,diğer
yitip gitmek,Deyim,diğer
yiyip bitirmek,Deyim,öğüt
yiyip içmek,Deyim,öğüt
yoğurt çalmak,Deyim,diğer
yoğurt gibi,Deyim,diğer
yok ananın örekesi,Deyim,diğer
yok canım,Deyim,diğer
yok devenin başı pabucu veya nalı,Deyim,diğer
yok etmek,Deyim,diğer
yok olmak,Deyim,diğer
yok satmak,Deyim,diğer
yok yok,Deyim,diğer
yoksulluk çekmek,Deyim,diğer
"yoksun bırakmak etmek, kılmak",Deyim,diğer
yoksun kalmak,Deyim,diğer
yoksun olmak,Deyim,diğer
yoktan var etmek,Deyim,diğer
yol almak,Deyim,diğer
yol aramak,Deyim,diğer
yol ayrımına gelmek,Deyim,diğer
yol bulmak,Deyim,diğer
yol çizmek,Deyim,diğer
yol gitmek,Deyim,diğer
yol görünmek,Deyim,diğer
yol göstermek,Deyim,diğer
yol iz bilmek,Deyim,öğüt
yol kesmek,Deyim,diğer
yol şaşmak,Deyim,diğer
yol tepmek,Deyim,diğer
yol tutmak,Deyim,diğer
yol vermek,Deyim,diğer
yol vurmak,Deyim,diğer
yol yakınken,Deyim,diğer
yol yapmak,Deyim,diğer
yol yürümek,Deyim,diğer
yola çıkmak,Deyim,diğer
yola dizilmek,Deyim,diğer
yola düzülmek,Deyim,diğer
yola gelmek,Deyim,diğer
yola getirmek,Deyim,diğer
yola gitmek,Deyim,diğer
yola revan olmak,Deyim,diğer
yola vurmak,Deyim,diğer
yola yatmak,Deyim,diğer
yola yollara düşmek,Deyim,diğer
yola yoluna koyulmak,Deyim,diğer
yolcu etmek,Deyim,diğer
yolda kalmak,Deyim,diğer
yoldan çevirmek,Deyim,diğer
yoldan çıkmak,Deyim,eleştiri
yoldan yolundan kalmak,Deyim,diğer
yollara dökülmek,Deyim,diğer
yolları ayrılmak,Deyim,diğer
yolları tutmak,Deyim,diğer
yolsuz kalmak,Deyim,diğer
yolu açık olmak,Deyim,diğer
yolu açmak,Deyim,diğer
yolu almak,Deyim,diğer
yoluna baş koymak,Deyim,diğer
yoluna can canını vermek,Deyim,diğer
yoluna çıkmak,Deyim,diğer
yoluna girmek,Deyim,diğer
yoluna koymak,Deyim,diğer
yoluna sapmak,Deyim,diğer
yolunda gitmek yürümek,Deyim,diğer
yolunu bilmek,Deyim,diğer
yolunu bulmak,Deyim,diğer
yolunu değiştirmek,Deyim,diğer
yolunu kesmek,Deyim,diğer
yolunu tutmak,Deyim,diğer
yom tutmak,Deyim,diğer
yorgan döşek yatmak,Deyim,diğer
yorgun düşmek,Deyim,diğer
yorgunluğunu almak,Deyim,diğer
yorgunluk yorgunluğunu atmak çıkarmak,Deyim,diğer
yorgunu yokuşa sürmek,Deyim,diğer
yosun bağlamak tutmak,Deyim,diğer
yön vermek,Deyim,diğer
yörüngesine oturmak,Deyim,diğer
yufka açmak,Deyim,diğer
yuh çekmek,Deyim,diğer
yuha çekmek,Deyim,diğer
yuhaya tutmak,Deyim,diğer
"yukarı tükürsem bıyık, aşağı tükürsem sakal",Deyim,eleştiri
yukarıdan almak,Deyim,diğer
yuları birinin elinde olmak,Deyim,diğer
yuları ele vermek kaptırmak,Deyim,diğer
yuları takmak,Deyim,diğer
yuları teslim etmek,Deyim,diğer
yumruğuna güvenmek,Deyim,diğer
yumruk atmak indirmek,Deyim,diğer
yumruk gibi,Deyim,diğer
yumruk göstermek,Deyim,diğer
yumruk kadar,Deyim,öğüt
yumruk yumruğa gelmek,Deyim,diğer
yumurta kapıya dayanmak gelmek,Deyim,sabır
yumurtadan daha dün çıkmış,Deyim,öğüt
yumurtaya kulp takmak,Deyim,diğer
yumurtayı çalkamak,Deyim,diğer
yunmuş arınmış yıkanmış,Deyim,diğer
yurt edinmek tutmak,Deyim,diğer
yuva kurmak,Deyim,diğer
yuva yapmak,Deyim,diğer
yuvarlak konuşmak,Deyim,diğer
yuvarlanıp gitmek,Deyim,diğer
yuvasını bozmak,Deyim,diğer
yuvasını dağıtmak,Deyim,diğer
yuvasını yıkmak,Deyim,diğer
yuvayı yürütmek,Deyim,diğer
yük altına girmek,Deyim,diğer
yük vurmak,Deyim,diğer
yüksek oynamak,Deyim,diğer
yüksek perdeden konuşmak,Deyim,diğer
yükseklerde dolaşmak,Deyim,diğer
yüksekten almak,Deyim,diğer
yüksekten atmak,Deyim,diğer
yüksekten konuşmak,Deyim,diğer
yüksekten uçmak,Deyim,diğer
yüksük kadar,Deyim,öğüt
yükünü almak,Deyim,diğer
yükünü tutmak,Deyim,diğer
yüreğe işlemek,Deyim,diğer
yüreği ağzına gelmek,Deyim,diğer
yüreği bayılmak,Deyim,diğer
yüreği boğazına tıkanmak,Deyim,diğer
yüreği bozulmak,Deyim,diğer
yüreği burkulmak,Deyim,diğer
yüreği cız etmek cızlamak,Deyim,diğer
yüreği çarpmak,Deyim,diğer
yüreği daralmak,Deyim,diğer
yüreği dayanmamak,Deyim,sabır
yüreği ezilmek,Deyim,diğer
yüreği ferahlamak hafiflemek,Deyim,diğer
yüreği götürmemek,Deyim,diğer
yüreği göz göz olmak,Deyim,diğer
yüreği hop etmek hoplamak veya oynamak,Deyim,diğer
yüreği kabarmak,Deyim,diğer
yüreği kaldırmamak,Deyim,diğer
yüreği kalkmak,Deyim,diğer
yüreği kan ağlamak,Deyim,diğer
yüreği kanamak,Deyim,diğer
yüreği kararmak,Deyim,diğer
yüreği katılmak,Deyim,diğer
yüreği kaynamak,Deyim,diğer
yüreği oynamak,Deyim,diğer
yüreği parça parça olmak,Deyim,diğer
yüreği parçalanmak,Deyim,diğer
yüreği parlamak,Deyim,öğüt
yüreği rahatlamak,Deyim,diğer
yüreği serinlemek,Deyim,diğer
yüreği sıkılmak,Deyim,diğer
yüreği sıkışmak tıkanmak,Deyim,diğer
yüreği sızlamak,Deyim,diğer
yüreği soğumak,Deyim,diğer
yüreği şişmek,Deyim,diğer
yüreği titremek,Deyim,diğer
yüreği tükenmek,Deyim,diğer
yüreği ürpermek,Deyim,diğer
yüreği yağ bağlamak,Deyim,diğer
yüreği yanmak,Deyim,diğer
yüreği yarılmak,Deyim,diğer
yüreği yerinden oynamak,Deyim,diğer
yüreğinden geçmek,Deyim,diğer
yüreğine bir şey çökmek,Deyim,diğer
yüreğine dert olmak,Deyim,diğer
yüreğine dokunmak,Deyim,diğer
yüreğine inmek,Deyim,diğer
yüreğine kar yağmak,Deyim,diğer
yüreğine kurt düşmek,Deyim,diğer
yüreğine od ateş düşmek,Deyim,diğer
yüreğine saplanmak,Deyim,diğer
yüreğine sinmek,Deyim,diğer
yüreğine su serpmek,Deyim,diğer
yüreğini açmak,Deyim,diğer
yüreğini ateş almak,Deyim,diğer
yüreğini boşaltmak dökmek,Deyim,eleştiri
yüreğini dağlamak,Deyim,diğer
yüreğini eritmek sızlatmak,Deyim,diğer
yüreğini hoplatmak oynatmak veya kaldırmak,Deyim,diğer
yüreğini kaplamak,Deyim,diğer
yüreğini pek tutmak,Deyim,diğer
yüreğini serinletmek,Deyim,diğer
yüreğinin başı sızlamak,Deyim,diğer
yüreğinin yağı yağları erimek,Deyim,diğer
yürek burkmak,Deyim,diğer
yürek paralamak,Deyim,diğer
yürek soğutmak,Deyim,diğer
yürek tüketmek,Deyim,diğer
yürek vermek,Deyim,diğer
yüreklilik göstermek,Deyim,öğüt
yüreksizlik göstermek,Deyim,diğer
yürekten çağırmak,Deyim,diğer
yürü ense tıraşını göreyim görelim,Deyim,diğer
yürürlüğe girmek,Deyim,diğer
yürürlüğe konmak,Deyim,diğer
yürürlükte bulunmak,Deyim,diğer
yürürlükte kalmak,Deyim,diğer
yürürlükten kaldırmak,Deyim,diğer
yürüyüş düzenlemek,Deyim,diğer
yürüyüş yapmak,Deyim,diğer
yürüyüşe çıkmak,Deyim,diğer
yürüyüşe geçmek,Deyim,diğer
yüz aklığı göstermek,Deyim,diğer
yüz bulmak,Deyim,diğer
yüz bulunca astar istemek,Deyim,diğer
yüz etmek,Deyim,diğer
yüz geri etmek,Deyim,diğer
yüz göstermek,Deyim,diğer
yüz göz olmak,Deyim,diğer
yüz karası olmak,Deyim,diğer
yüz kızartmak,Deyim,diğer
yüz kızdırmak,Deyim,diğer
yüz surat davul derisi mahkeme duvarı,Deyim,diğer
yüz sürmek,Deyim,diğer
yüz takınmak,Deyim,diğer
yüz verince astar istemek,Deyim,diğer
yüz yapmak,Deyim,diğer
yüz yazmak,Deyim,diğer
yüz yüze gelmek,Deyim,diğer
yüz yüze getirmek,Deyim,diğer
yüz yüze kalmak,Deyim,diğer
yüz yüze yaşamak,Deyim,diğer
yüze çıkmak,Deyim,diğer
yüze duramamak,Deyim,diğer
yüze gelmek,Deyim,diğer
yüze gülmek,Deyim,diğer
yüze vurmak,Deyim,diğer
yüzsuyu dökmek,Deyim,diğer
yüzü asılmak,Deyim,diğer
yüzü düşmek,Deyim,diğer
yüzü gözü açılmak,Deyim,diğer
yüzü gülmek,Deyim,diğer
yüzü kalmamak,Deyim,diğer
yüzü karışmak allak bullak olmak veya alabora olmak,Deyim,diğer
yüzü kasap süngeriyle silinmiş,Deyim,diğer
yüzü kızarmak,Deyim,diğer
yüzü kireç gibi olmak ağarmak,Deyim,diğer
yüzü kireç kesilmek,Deyim,diğer
yüzü sararmak,Deyim,diğer
yüzü seçilmemek,Deyim,diğer
yüzü sıcak olmak,Deyim,diğer
yüzü soğuk olmak,Deyim,diğer
yüzü yazılı kalmak,Deyim,diğer
yüzü yere gelmek geçmek,Deyim,diğer
yüzüğü geriye çevirmek,Deyim,diğer
yüzük takmak,Deyim,diğer
yüzünden akmak,Deyim,diğer
yüzünden düşen bin parça olmak,Deyim,diğer
yüzünden kan damlamak,Deyim,öğüt
yüzünden okumak,Deyim,diğer
yüzüne bakamaz olmak,Deyim,diğer
yüzüne bakılacak gibi olmak,Deyim,öğüt
yüzüne bakılır olmak,Deyim,öğüt
yüzüne bakılmaz olmak,Deyim,eleştiri
yüzüne bakmamak,Deyim,diğer
yüzüne bir daha bakmamak,Deyim,diğer
yüzüne gözüne bulaştırmak,Deyim,eleştiri
yüzüne gülmek,Deyim,diğer
yüzüne kan gelmek,Deyim,diğer
yüzüne tükürseler yağmur yağıyor sanır,Deyim,diğer
yüzüne yazmak,Deyim,diğer
yüzünü buruşturmak ekşitmek,Deyim,diğer
yüzünü gören cennetlik,Deyim,diğer
yüzünü görmemek,Deyim,diğer
yüzünü kara çıkarmak,Deyim,diğer
yüzünü karartmak,Deyim,diğer
yüzünü kızartmak kızdırmak,Deyim,diğer
yüzünü şeytan görsün,Deyim,diğer
yüzünü yere getirmek geçirmek,Deyim,diğer
yüzünün derisi kalın,Deyim,eleştiri
yüzünün derisi yere geçmek,Deyim,diğer
yüzünüze güller,Deyim,diğer
yüzüp yüzüp kuyruğuna gelmek,Deyim,diğer
zaaf göstermek,Deyim,diğer
zaafa düşmek,Deyim,diğer
zaafa kapılmak,Deyim,diğer
zaafa uğramak,Deyim,diğer
zabıt tutmak,Deyim,diğer
zahmet olmazsa,Deyim,diğer
zahmete girmek katlanmak,Deyim,diğer
zahmete sokmak,Deyim,diğer
zahmetine değmek,Deyim,diğer
zam gelmek,Deyim,diğer
zam görmek,Deyim,diğer
zam yapmak,Deyim,diğer
zaman almak,Deyim,diğer
zaman bırakmak,Deyim,diğer
zaman ile yarışmak,Deyim,diğer
zaman kazanmak,Deyim,diğer
zaman öldürmek,Deyim,diğer
zaman tanımak,Deyim,diğer
zaman vermek,Deyim,diğer
zamana uymak,Deyim,diğer
zamanı avlamak,Deyim,diğer
zamanı dolmak,Deyim,diğer
zamanı geçirmek,Deyim,diğer
zambırından geçilmemek,Deyim,diğer
zan altında bulunmak,Deyim,eleştiri
zangır zangır titremek,Deyim,diğer
zannına düşmek,Deyim,diğer
zapt etmek,Deyim,diğer
zapt olunmak,Deyim,diğer
zapturapt altına almak,Deyim,diğer
zar almak,Deyim,diğer
zar atmak,Deyim,diğer
zar gibi,Deyim,diğer
zar kesmek,Deyim,diğer
zar tutmak,Deyim,diğer
zarar çekmek,Deyim,diğer
zarar gelmek,Deyim,diğer
zarar görmek,Deyim,diğer
zarar vermek,Deyim,diğer
zarara sokmak,Deyim,diğer
zarara uğramak,Deyim,diğer
zararda olmak,Deyim,diğer
zararı dokunmak,Deyim,diğer
zararı olmamak,Deyim,diğer
zararı yok,Deyim,diğer
zarf atmak,Deyim,diğer
zarını bozmak,Deyim,diğer
zart zurt etmek,Deyim,diğer
zartayı çekmek,Deyim,diğer
zebun kalmak,Deyim,diğer
zehaba zehabına kapılmak,Deyim,diğer
zehapta bulunmak,Deyim,diğer
zehir kesilmek,Deyim,diğer
zehir saçmak,Deyim,diğer
zekât vermek,Deyim,diğer
zembereği boşalmak boşanmak,Deyim,eleştiri
zemberek gibi,Deyim,diğer
zemberek kurulmak,Deyim,eleştiri
zemin hazırlamak,Deyim,diğer
zemin ve zamana uygun,Deyim,diğer
zemzem kuyusuna işemek,Deyim,diğer
zemzem suyu ile yıkanmak,Deyim,diğer
zenneye çıkmak,Deyim,diğer
zerre kadar,Deyim,öğüt
zerresi zerre kadar eseri kalmamak olmamak veya yok,Deyim,öğüt
zevahiri kurtarmak,Deyim,diğer
zeval bulmak,Deyim,diğer
zeval vermemek,Deyim,diğer
zevale ermek,Deyim,diğer
zevale yüz tutmak,Deyim,diğer
